Get called at C:\Users\Markk\source\repos\WebApplication1\WebApplication1\bin\Debug\net7.0\WebApplication1.exe
Get called at 01/01/0001 0.00.00 System.Collections.Hashtable
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.05
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.05
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.06
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.07
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.08
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.09
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.09
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.10
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.11
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.12
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.13
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.14
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.14
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.15
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.16
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.17
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.18
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.18
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.19
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.20
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.21
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.22
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.22
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.23
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.24
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.25
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.26
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.27
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.27
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.28
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.29
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.30
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.31
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.31
